Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;5_Merkmal_Code;5_Merkmal_Label;5_Auspraegung_Code;5_Auspraegung_Label;UMS103__Umsatzindex__2015=100
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;...
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;...
